"name","pos","sourceName","season","positionRank","overallRank","points","passAtt","passComp","passIncomp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstTd","fg","fgAtt","xp"
"LESEANMCCOY","RB",NA,2015,13,34,12.96,NA,NA,NA,NA,NA,NA,14.5,61.6,0.4,2.1,19,0.1,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMMYWATKINS","WR","espn",2015,25,49,12.92,0,0,0,0,0,0,0.3,2,0,4.3,60.2,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WILLIESNEAD","WR",NA,2015,15,35,12.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,63.8,0.4,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JORDANMATTHEWS","WR",NA,2015,16,36,12.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,62.7,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TYHILTON","WR",NA,2015,17,37,12.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,60.7,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANDREWLUCK","QB","espn",2015,3,50,12.862,41,24.3,16.7,290.2,1.6,1.3,3.8,18.9,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALLENHURNS","WR","espn",2015,26,51,12.85,0,0,0,0,0,0,0,0,0,4.7,63.5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LATAVIUSMURRAY","RB",NA,2015,14,38,12.8,NA,NA,NA,NA,NA,NA,14,64.9,0.4,2.6,15.1,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERICDECKER","WR",NA,2015,18,39,12.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,55.7,0.5,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JORDANMATTHEWS","WR","espn",2015,27,52,12.74,0,0,0,0,0,0,0,0,0,4.9,60.4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DONTEMONCRIEF","WR","espn",2015,28,53,12.66,0,0,0,0,0,0,0.1,0.7,0,4.7,60.9,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DREWBREES","QB",NA,2015,4,40,12.64,39.9,27.6,12.3,324,2,1,1.6,2,0.1,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EDDIELACY","RB","espn",2015,19,54,12.64,0,0,0,0,0,0,13.5,54.6,0.3,2.8,19.8,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CJSPILLER","RB",NA,2015,15,41,12.63,NA,NA,NA,NA,NA,NA,7.5,35.3,0.2,3.4,28,0.3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JOHNNYMANZIEL","QB","espn",2015,4,55,12.588,35.2,21.3,13.9,260.1,1.1,1.2,5.5,27.4,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GIOVANIBERNARD","RB",NA,2015,16,42,12.56,NA,NA,NA,NA,NA,NA,10.2,52.7,0.3,2.7,22.9,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTRYAN","QB",NA,2015,5,43,12.55,41.4,28.7,12.7,328,1.5,1,1.6,5.7,0,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"VINCENTJACKSON","WR",NA,2015,19,44,12.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,65.4,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RONNIEHILLMAN","RB",NA,2015,17,45,12.51,NA,NA,NA,NA,NA,NA,14.9,65.9,0.5,1.4,10.2,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRANDONLAFELL","WR","espn",2015,29,56,12.47,0,0,0,0,0,0,0,0,0,4.1,53.7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LAMARMILLER","RB",NA,2015,18,46,12.45,NA,NA,NA,NA,NA,NA,11.9,58,0.3,2.5,18.5,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARTELLUSBENNETT","TE",NA,2015,5,47,12.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,52.2,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JONATHANSTEWART","RB","espn",2015,20,57,12.39,0,0,0,0,0,0,17.9,78.8,0.5,0.9,6.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JORDANREED","TE","espn",2015,5,58,12.37,0,0,0,0,0,0,0,0,0,5.2,53.7,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TOMBRADY","QB","espn",2015,5,59,12.312,36.5,24.9,11.6,276.7,2.6,0.4,2.8,3.4,0.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"STEFONDIGGS","WR","espn",2015,30,60,12.27,0,0,0,0,0,0,0.3,1.8,0,4.9,65.9,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BENROETHLISBERGER","QB","espn",2015,6,61,12.244,38.1,24.6,13.5,311.1,2,0.9,2.1,6.2,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LATAVIUSMURRAY","RB","espn",2015,21,62,12.24,0,0,0,0,0,0,15.1,60.4,0.2,2.5,19,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANQUANBOLDIN","WR",NA,2015,20,48,12.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6,58.3,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEZBRYANT","WR",NA,2015,21,49,12.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.1,57.2,0.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GARYBARNIDGE","TE","espn",2015,6,63,12.2,0,0,0,0,0,0,0,0,0,4.6,58,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARTELLUSBENNETT","TE","espn",2015,7,64,12.19,0,0,0,0,0,0,0,0,0,5,53.9,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRANDONLAFELL","WR",NA,2015,22,50,12.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,56.8,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHRISIVORY","RB",NA,2015,19,51,12.14,NA,NA,NA,NA,NA,NA,15.2,62.9,0.5,1.3,10.5,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MALCOMFLOYD","WR","espn",2015,31,65,12.14,0,0,0,0,0,0,0,0,0,3.3,58.4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TRAVISBENJAMIN","WR","espn",2015,32,66,12.11,0,0,0,0,0,0,0,0,0,4.1,62.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BRANDONMARSHALL","WR",NA,2015,23,52,12.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,57,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ANDYDALTON","QB",NA,2015,6,53,12.07,33.2,19.7,13.5,258,2,1.2,4.5,12.7,0.3,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TYRODTAYLOR","QB","espn",2015,7,67,12.054,28.7,17.9,10.8,210.6,1.5,0.8,6.4,31.7,0.2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JORDANREED","TE",NA,2015,6,54,12.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,52.5,0.3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LEGARRETTEBLOUNT","RB","espn",2015,22,68,12.02,0,0,0,0,0,0,14.5,73,0.7,0.3,2.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MICHAELCRABTREE","WR",NA,2015,24,55,12.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,56.2,0.2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARTAVISBRYANT","WR",NA,2015,25,56,11.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7,52.5,0.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RISHARDMATTHEWS","WR","espn",2015,33,69,11.95,0,0,0,0,0,0,0,0,0,4.6,55.5,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DAVANTEADAMS","WR","espn",2015,34,70,11.93,0,0,0,0,0,0,0,0,0,4.2,59.3,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PIERREGARCON","WR",NA,2015,26,57,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.8,53,0.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BLAKEBORTLES","QB","espn",2015,8,71,11.864,40.4,23.9,16.5,278.9,1.2,1.1,3.1,17.6,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MATTRYAN","QB","espn",2015,9,72,11.794,35.7,24.1,11.6,278,1.6,0.8,2.5,8.1,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CJSPILLER","RB","espn",2015,23,73,11.79,0,0,0,0,0,0,6.8,32.9,0.2,3.2,29,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PHILIPRIVERS","QB","espn",2015,10,74,11.742,36.8,24,12.8,303.9,2.4,0.9,1.8,3.9,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PEYTONMANNING","QB","espn",2015,11,75,11.71,39.3,25.4,13.9,316.9,1.6,1,1.1,-0.3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JARVISLANDRY","WR",NA,2015,27,58,11.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.4,51.7,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAMESJONES","WR","espn",2015,35,76,11.59,0,0,0,0,0,0,0,0,0,3.7,54.9,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MELVINGORDON","RB","espn",2015,24,77,11.59,0,0,0,0,0,0,16,63.6,0.2,2,14.3,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MARCUSMARIOTA","QB","espn",2015,12,78,11.558,33.3,21,12.3,250.9,1.8,0.9,2.7,17.5,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DARRENMCFADDEN","RB",NA,2015,20,59,11.54,NA,NA,NA,NA,NA,NA,15,59.5,0.4,1.8,14.9,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GENOSMITH","QB",NA,2015,7,60,11.508,32.3,19.4,12.9,221,1.7,1.1,4.3,22,0.3,NA,NA,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GENOSMITH","QB","espn",2015,13,79,11.492,32.6,20,12.6,238.7,1.6,0.8,4,20.8,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JONATHANSTEWART","RB",NA,2015,21,61,11.41,NA,NA,NA,NA,NA,NA,16.6,77.5,0.3,1.3,7.6,0,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JAYCUTLER","QB",NA,2015,8,62,11.38,36.3,23.6,12.7,255,1.5,0.9,2.4,16.2,0.1,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RYANMATHEWS","RB",NA,2015,22,63,11.38,NA,NA,NA,NA,NA,NA,6,30.2,0.3,3.1,25.6,0.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TJYELDON","RB",NA,2015,23,64,11.37,NA,NA,NA,NA,NA,NA,12.5,46.8,0.4,2.5,12.9,0.1,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WILLIESNEAD","WR","espn",2015,36,80,11.34,0,0,0,0,0,0,0,0,0,3.8,51.4,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TEDGINN","WR",NA,2015,28,65,11.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,54.6,0.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LEONARDHANKERSON","WR",NA,2015,29,66,11.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,49.1,0.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"TEDDYBRIDGEWATER","QB","espn",2015,14,81,11.184,30.6,19,11.6,230.2,0.4,0.7,4.2,20.6,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SHANEVEREEN","RB",NA,2015,24,67,11.09,NA,NA,NA,NA,NA,NA,4,15.3,0.1,4.1,37.6,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SAMBRADFORD","QB","espn",2015,15,82,11.054,37,23.8,13.2,265.5,1.1,0.7,1.9,4.9,0.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
