"name","pos","sourceName","name_espn","team_espn","positionRank","overallRank","points","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds"
"GREGJENNINGS","WR","espn","Greg Jennings","MIA",80,248,"1.6",0,0,0,0,0,0,0,0,1.2,15.6,0.1
"COLEBEASLEY","WR","espn","Cole Beasley","DAL",81,249,"1.6",0,0,0,0,0,0,0,0,1.7,17.1,0.1
"DEVINSMITH","WR","espn","Devin Smith","NYJ",82,250,"1.6",0,0,0,0,0,0,0,0,0.9,14.4,0.1
"TYMONTGOMERY","WR","espn","Ty Montgomery","GB",83,251,"1.6",0,0,0,0,0,0.2,1.5,0,0.7,10.2,0.1
"MICHAELHOOMANAWANUI","TE","espn","Michael Hoomanawanui","NO",35,252,"1.6",0,0,0,0,0,0,0,0,1,10.9,0.1
"EDDICKSON","TE","espn","Ed Dickson","CAR",36,253,"1.6",0,0,0,0,0,0,0,0,1.3,15.7,0.1
"MARCEDESLEWIS","TE","espn","Marcedes Lewis","JAC",37,254,"1.6",0,0,0,0,0,0,0,0,1.3,14.4,0.1
"SANFRANCISCO49ERS","DST","espn","San Francisco 49ers","SF",26,255,"1.6",0,0,0,0,0,0,0,0,0,0,0
"SETHROBERTS","WR","espn","Seth Roberts","OAK",84,256,"1.5",0,0,0,0,0,0,0,0,1.4,14.1,0.1
"DARRIUSHEYWARDBEY","WR","espn","Darrius Heyward-Bey","PIT",85,257,"1.5",0,0,0,0,0,0,0,0,0.9,12.9,0.1
"GARRETTCELEK","TE","espn","Garrett Celek","SF",38,258,"1.5",0,0,0,0,0,0,0,0,1.5,16.3,0.1
"TAIWANJONES","RB","espn","Taiwan Jones","OAK",58,259,"1.4",0,0,0,0,0,1.7,6.9,0,1.3,10.4,0.1
"DEREKCARRIER","TE","espn","Derek Carrier","WAS",39,260,"1.4",0,0,0,0,0,0,0,0,1,11,0.1
"ANDRECALDWELL","WR","espn","Andre Caldwell","DEN",86,261,"1.3",0,0,0,0,0,0,0,0,0.8,10.4,0.1
"BENNIEFOWLER","WR","espn","Bennie Fowler","DEN",87,262,"1.3",0,0,0,0,0,0,0,0,0.8,10.4,0.1
"JEROMESIMPSON","WR","espn","Jerome Simpson","SF",88,263,"1.3",0,0,0,0,0,0,0,0,0.8,11.2,0.1
