"name","pos","team","sourceName","player","playerID","season","positionRank","overallRank","points","pointsLo","pointsHi","passAtt","passComp","passIncomp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","fumbles","dstYdsAllowed","dstSack","dstSafety","dstInt","dstFumlRec","dstFumlForce","dstTd","fg","fgAtt","xp"
"ADAMHUMPHRIES","WR","TB","averageWeighted","Adam Humphries",6,2015,90,218,3.175,2.21,4.14,0,0,0,0,0,0,0,0,0,1.1,14.75,0.1,0,0,0,0,0,0,0,0,0,0,0
"ADAMHUMPHRIES","WR","TB","cbs","Adam Humphries",6,2015,85,205,4.14,2.21,4.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,20.4,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAMHUMPHRIES","WR","TB","espn","Adam Humphries",6,2015,91,224,2.21,2.21,4.14,0,0,0,0,0,0,0,0,0,0.7,9.1,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAMTHIELEN","WR","MIN","average","Adam Thielen",7,2015,123,312,0.215,0.21,0.22,0,0,0,0,0,0,0,0,0,0.1,1.15,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMTHIELEN","WR","MIN","averageRobust","Adam Thielen",7,2015,123,312,0.215,0.21,0.22,0,0,0,0,0,0,0,0,0,0.1,1.15,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMTHIELEN","WR","MIN","averageWeighted","Adam Thielen",7,2015,123,312,0.215,0.21,0.22,0,0,0,0,0,0,0,0,0,0.1,1.15,0,0,0,0,0,0,0,0,0,0,0,0
"ADAMTHIELEN","WR","MIN","cbs","Adam Thielen",7,2015,104,270,0.21,0.21,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1.1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAMTHIELEN","WR","MIN","espn","Adam Thielen",7,2015,115,294,0.22,0.21,0.22,0,0,0,0,0,0,0,0,0,0.1,1.2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ADAMVINATIERI","K","IND","average","Adam Vinatieri",8,2015,2,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.7,2.1
"ADAMVINATIERI","K","IND","averageRobust","Adam Vinatieri",8,2015,2,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.7,2.1
"ADAMVINATIERI","K","IND","averageWeighted","Adam Vinatieri",8,2015,2,370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4,1.7,2.1
"ADAMVINATIERI","K","IND","cbs","Adam Vinatieri",8,2015,1,405,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,1.7,2.1
